front,back
"What are the regulation dimensions and end zone size for the field of play?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 1 – Definitions and Markings</i>","The field of play shall be 110 yards (100 metres) long by 65 yards (60 metres) wide, with an end zone 20 yards (18.28 metres) long at each end."
"How are the end zone, goal line, and field of play areas defined in relation to their bounding lines?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 1 – Definitions and Markings</i>","End Zone: bounded by the goal line, end zone sidelines, and dead line; the goal line is part of the end zone. Field of Play: bounded by the goal lines and the sidelines."
"What specifically makes something out of bounds along the field boundaries?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 2 – Boundaries</i>","The bounds are defined as the inside of the sidelines, end zone sidelines, and dead lines, and these boundary lines are out of bounds."
"From what exact edge are all field measurements to be taken?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 3 – Field Dimension Measurements</i>",All measurements shall be taken from the inside edge of any boundary line.
"How must the field be marked in 5-yard increments across the width, and how far do these lines extend?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 4 – Distance Lines</i>","The field of play shall be marked every 5 yards (metres) by lines parallel to the goal line, extending completely across the field between the sidelines."
"Which yard lines must be specially marked, and how are they marked?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 5 – Special Lines</i>",The 35 and 45 yard (30 and 40 metre) lines shall be of double thickness or double lines.
"Where are hash marks placed relative to the sidelines, and what is the pattern of marking on each 5-yard stripe?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 6 – Hash Marks</i>","Twenty-four yards (22 metres) from each sideline, each 5 yard (metre) stripe is marked by a short cross stripe parallel to the sideline (hash marks)."
"What marker requirements apply at the intersections of the goal lines/sidelines and the dead line/end zone sidelines?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 8 – End Zone Markings</i>","The four intersections of the goal lines and sidelines, and the four intersections of the dead line and the end zone sidelines, shall be marked only by flexible markers placed at the intersection and are considered inbounds; no rigid or wooden object may be used, and if rigid objects are present they must be removed before the start of the game."
"What are the required physical characteristics and acceptable colors for the flexible end zone marker pylons?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 8 – End Zone Markings</i>","They must be soft, flexible, four-sided pylons, 4” x 4” (10 cm x 10 cm) with an overall height of 18 inches (46 cm) (which may include a two inch (5 cm) space between the bottom of the pylon and the ground), and be orange or red in colour."
"What are the required goal post spacing and crossbar height above the ground?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 9 – Goal Post Assembly</i>","The goal post assembly consists of 2 vertical goal posts 18 feet 6 inches (5.64 metres) apart, centred on the goal line, with a crossbar whose upper edge is 10 feet (3.05 metres) above the ground."
"How high must goal posts be above ground level, and how does a new installation differ from existing installations?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 9 – Goal Post Assembly</i>","For safety reasons, goal posts must be at least 20 feet (6.1 metres) above the ground level; for new installations, goal posts should measure 30 ft (9.1 metres) above ground level."
"What padding and responsibility requirements apply to goal posts?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 9 – Goal Post Assembly</i>","All goal posts must be properly padded with goal post pads meeting manufacturer’s specifications; it is the responsibility of the home team to provide the padding, and on a neutral field the participating teams decide which team is responsible."
"What boundary adjustments must be made if the field is smaller than regulation due to tracks or obstructions?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 10 – Non-Regulation Fields</i>","When the length or width is less than regulation, a clear set of boundary lines shall be provided at least 1 foot (0.3 metres) inside the track or obstruction."
"What actions count as a “play” for rule application?

<i>Rule 1 – Conduct of the Game | Section 1: The Field | Article 11 – Play</i>","A play is defined as any legally run scrimmage play (run, pass, kick), a convert attempt, or a kick-off during both regulation time and overtime."
"What are the required construction and inflation limits for the four-panel ball (pressure range, material, and shape)?

<i>Rule 1 – Conduct of the Game | Section 2: The Ball | Article 1 – Description</i>","The ball is a four-panel ball made of pebbled grain leather, enclosing a rubber bladder, tightly inflated to not less than 12 1/2 lbs (85 kPa) and not more than 13 1/2 lbs (95 kPa). It shall be in the shape of a prolate spheroid."
"What are the specified size and weight ranges for the ball’s long axis, short axis, and overall weight?

<i>Rule 1 – Conduct of the Game | Section 2: The Ball | Article 1 – Description</i>",Long axis circumference: 27 3/4 to 28 1/2 inches (700 to 725 mm). Short axis circumference: 20 3/4 to 21 3/8 inches (525 to 540 mm). Long axis length: 10 7/8 to 11 7/16 inches (275 to 290 mm). Weight: 14 to 15 ounces (400 to 425 grams).
"Under what condition does the referee decide whether the ball is suitable, and who provides the ball?

<i>Rule 1 – Conduct of the Game | Section 2: The Ball | Article 1 – Description</i>",The Home Team shall provide a league approved ball or balls. The decision of the Referee shall be final as to the suitability of the ball.
"How must the ball’s color differ for day games vs. night games, and what uniform-color restriction applies in both?

<i>Rule 1 – Conduct of the Game | Section 2: The Ball | Article 2 – Day and Night Games</i>","For day games, the ball shall be of a natural tan colour. For night games, the ball must be of such colour as will make it clearly visible. In both day and night games, the colour of the ball shall, in no way, closely blend with the colour of the uniforms of the competing teams."
"On wet days, how many balls are recommended and who is suggested to help keep them clean and dry?

<i>Rule 1 – Conduct of the Game | Section 2: The Ball | Article 3 – Wet Day Procedure</i>","On wet days, it is recommended that at least three balls be available which may be changed at the discretion of the Referee. It is suggested that “ball persons” be used, one on either side of the field, to keep the balls as clean and dry as possible."
"How many minutes of actual playing time are there in the game at (a) general level and (b) High School level or equivalent and below?

<i>Rule 1 – Conduct of the Game | Section 3: The Game | Article 1 – Length of Game</i>","(a) 60 minutes actual playing time, divided into 4 periods of 15 minutes each. (b) 48 minutes actual playing time, divided into 4 periods of 12 minutes each."
"At the start of the game, who makes the initial choice among kicking off, receiving the kick off, or defending an end of the field—and what changes at the start of the 3rd period?

<i>Rule 1 – Conduct of the Game | Section 3: The Game | Article 2 – Choice of Kick Off, Receiving Kick Off, or End of Field</i>","At the start of the game, the visiting team captain or the team winning the coin toss declares whether to have first choice at the start of the 1st or 2nd half. The captain with first choice for the 1st half chooses one of: (1) Kicking Off (2) Receiving the kick off (3) Defending an end of the field. The other captain chooses among the remaining 2 (or 1) options. At the start of the 3rd period, the procedure is reversed."
"How is play put into play at the start of the 2nd and 4th periods after teams change ends?

<i>Rule 1 – Conduct of the Game | Section 3: The Game | Article 3 – Change of End</i>","At the end of the 1st and 3rd periods, teams change ends. At the start of the 2nd and 4th periods, the ball is put into play by the team entitled to do so at a point corresponding exactly to where the ball became dead at the opposite end of the field, and in exactly the same manner as if play had not been interrupted by the end of the previous period."
"How long is the rest period at halftime?

<i>Rule 1 – Conduct of the Game | Section 3: The Game | Article 4 – Half Time</i>","At the end of the 2nd period, a 20-minute rest period is allowed (or such other rest period as the league shall decide)."
"What penalty applies if a team is late appearing on the field at the start of the 1st or 3rd period?

<i>Rule 1 – Conduct of the Game | Section 3: The Game | Article 5 – Late Start</i>",Penalty – L10. No option.
"When the score is tied at the end of the 4th period, what happens if no written tie-breaking regulations have been prepared?

<i>Rule 1 – Conduct of the Game | Section 3: The Game | Article 6 – Tie Game</i>","Officials instruct both teams to retire to their respective team areas, then review the tie-breaking procedure at center field. Captains are escorted to center field for a coin toss; the winner chooses (1) Offense or defense with offense at the opponent’s 35-yard line to start, or (2) which end of the field is used for the overtime period. The loser takes the remaining option for the first extra period and has the first choice for the two options in subsequent even-numbered extra periods. Extra periods: each team puts the ball in play by a snap on or between the hash marks of the opponent’s 35-yard line, and each team retains the ball until it scores or fails to make a first down (ball remains alive after a change of team possession until declared dead). The team scoring more points in an extra period wins; if still tied after three extra periods, any subsequent touchdown must be followed by a two-point conversion. There are no team time-outs during overtime play."
"How many players from each team are on the field at any one time?

<i>Rule 1 – Conduct of the Game | Section 4: Teams | Article 1 – Teams</i>",Each team consists of 12 players on the field at any one time.
"Which team is identified as Team A and which as Team B?

<i>Rule 1 – Conduct of the Game | Section 4: Teams | Article 2 – Team Designation</i>","The team which puts the ball into play is identified as Team A, and the other team is identified as Team B (for identification in Approved Rulings in the Case Book)."
"Who is the sole communicator between a team and the officials, and what is their role regarding rule explanations?

<i>Rule 1 – Conduct of the Game | Section 4: Teams | Article 3 – Team Captains</i>",Each team must have on the field a player designated as captain. The captain is the sole communicator between the team and the officials (through the Referee) and is entitled to an explanation of the rules.
"What penalty applies if a player (or anyone on the bench) comments to benefit the officials, and is there an option?

<i>Rule 1 – Conduct of the Game | Section 4: Teams | Article 3 – Team Captains</i>","Commenting by a player, or any occupant of the bench, for the supposed benefit of the officials shall be penalized: Penalty L10. No option."
"Under what situations will the referee inform the captain when a choice must be made?

<i>Rule 1 – Conduct of the Game | Section 4: Teams | Article 3 – Team Captains</i>","The referee will inform a captain when a choice is to be made, such as: on a kick off at the start of a half; after a touchdown or field goal; or in the case of a foul where the captain of the non-offending team is given the choice of the penalty, or option provided."
