front,back
"What are the regulation field dimensions (length and width), and how long is each end zone?

<i>Rule 1 | Section 1: The Field | Article 1 – Definitions and Markings</i>","The field of play is 110 yards (100 metres) long by 65 yards (60 metres) wide, with an end zone 20 yards (18.28 metres) long at each end."
"Which lines define the end zone, and is the goal line part of it?

<i>Rule 1 | Section 1: The Field | Article 1 – Definitions and Markings</i>","The end zone is bounded by the goal line, end zone sidelines, and dead line; the goal line is part of the end zone."
"What is the dead line, and where is it located relative to each goal line?

<i>Rule 1 | Section 1: The Field | Article 1 – Definitions and Markings</i>",The dead line is the line 20 yards (18.28 metres) behind each goal line and parallel to it.
"What specifically counts as the bounds of the playing field, and are these boundary lines in or out of bounds?

<i>Rule 1 | Section 1: The Field | Article 2 – Boundaries</i>","The bounds are defined as the inside of the sidelines, end zone sidelines, and dead lines; these boundary lines are out of bounds."
"From what edge are all field measurements taken?

<i>Rule 1 | Section 1: The Field | Article 3 – Field Dimension Measurements</i>",All measurements are taken from the inside edge of any boundary line.
"How are the distance lines marked across the field?

<i>Rule 1 | Section 1: The Field | Article 4 – Distance Lines</i>",The field of play is marked every 5 yards (metres) by lines parallel to the goal line and extending completely across the field between the sidelines.
"Which yard lines must be double thickness (or double lines), and at what distances?

<i>Rule 1 | Section 1: The Field | Article 5 – Special Lines</i>",The 35 and 45 yard (30 and 40 metre) lines must be of double thickness or double lines.
"Where are hash marks placed and how are they spaced?

<i>Rule 1 | Section 1: The Field | Article 6 – Hash Marks</i>","Twenty-four yards (22 metres) from each sideline, each 5 yard (metre) stripe has a short cross stripe parallel to the sideline (hash marks)."
"What is recommended regarding markers near each distance line?

<i>Rule 1 | Section 1: The Field | Article 7 – Distance Markers</i>",It is recommended that markers be placed opposite each 5 yard (metre) line indicating the distance of each line from the goal line toward the centre of the field.
"What type of markers may be used at the end zone boundary intersections, and are they inbounds?

<i>Rule 1 | Section 1: The Field | Article 8 – End Zone Markings</i>",Only flexible markers may be used to mark the four intersections of the goal lines and sidelines and the four intersections of the dead line and the end zone sidelines; they must be placed at the intersection of the lines and are considered inbounds.
"Under what condition must rigid objects at the end zone intersections be removed?

<i>Rule 1 | Section 1: The Field | Article 8 – End Zone Markings</i>","If any rigid object is present, it shall be removed before the start of the game."
"What are the size and construction requirements for the flexible end zone pylon markers?

<i>Rule 1 | Section 1: The Field | Article 8 – End Zone Markings</i>","Markers must be soft, flexible, four-sided pylons, 4” x 4” (10 cm x 10 cm), with an overall height of 18 inches (46 cm) and may include a two inch (5 cm) space between the bottom of the pylon and the ground; they must be orange or red in colour."
