front,back
"What is the overarching subject of Rule 1?

<i>Rule 1</i>",The overarching subject of Rule 1 is the Conduct of the Game.
"What are the dimensions of a regulation Canadian Amateur Tackle Football field, including the end zones?

<i>Rule 1 | Section 1 | Article 1</i>","The field of play is 110 yards (100 metres) long by 65 yards (60 metres) wide. Additionally, there is a 20-yard (18.28 metres) long end zone at each end."
"What is the 'Dead Line' according to the rules?

<i>Rule 1 | Section 1 | Article 1</i>",The Dead Line is the line 20 yards (18.28 metres) behind each goal line and parallel to it.
"Which line is considered part of the end zone?

<i>Rule 1 | Section 1 | Article 1</i>",The goal line is considered part of the end zone.
"How are the boundaries of the playing field defined, and are these lines in or out of bounds?

<i>Rule 1 | Section 1 | Article 2</i>","The bounds are defined as the inside of the sidelines, end zone sidelines, and dead lines. These boundary lines are out of bounds."
"From what point are all field dimension measurements taken?

<i>Rule 1 | Section 1 | Article 3</i>",All measurements shall be taken from the inside edge of any boundary line.
"How frequently must the field of play be marked by lines parallel to the goal line?

<i>Rule 1 | Section 1 | Article 4</i>",The field of play shall be marked every 5 yards (metres) by lines parallel to the goal line.
"Which specific yard lines must be marked with double thickness or double lines?

<i>Rule 1 | Section 1 | Article 5</i>",The 35 and 45 yard (30 and 40 metre) lines shall be of double thickness or double lines.
"Where are hash marks located on the field?

<i>Rule 1 | Section 1 | Article 6</i>","Hash marks are located twenty-four yards (22 metres) from each sideline, marking each 5-yard (metre) stripe with a short cross stripe parallel to the sideline."
"What type of markers are allowed at the intersections of goal lines, sidelines, dead lines, and end zone sidelines?

<i>Rule 1 | Section 1 | Article 8</i>","Only flexible markers are allowed, specifically soft, flexible, four-sided pylons, 4” x 4” (10 cm x 10 cm) with an overall height of 18 inches (46 cm), and orange or red in colour."
"Are the flexible markers placed at the intersections of lines considered inbounds or out of bounds?

<i>Rule 1 | Section 1 | Article 8</i>",The flexible markers are considered inbounds.
"What is the standard width between the vertical goal posts?

<i>Rule 1 | Section 1 | Article 9</i>",The vertical goal posts shall be 18 feet 6 inches (5.64 metres) apart.
"What is the required height of the crossbar's upper edge above the ground?

<i>Rule 1 | Section 1 | Article 9</i>",The upper edge of the crossbar must be 10 feet (3.05 metres) above the ground.
"What is the minimum required height for goal posts above ground level?

<i>Rule 1 | Section 1 | Article 9</i>","The goal posts shall be at least 20 feet (6.1 metres) above the ground level, with new installations recommended to be 30 ft (9.1 metres)."
"Who is responsible for providing the mandatory padding for goal posts on a home field?

<i>Rule 1 | Section 1 | Article 9</i>",It is the responsibility of the home team to provide the padding.
"Are goal posts located on the goal line considered part of the end zone?

<i>Rule 1 | Section 1 | Article 9 Note</i>","Yes, goal posts on the goal line are considered to be part of the end zone."
"What is required if a non-regulation field has obstructions like running tracks?

<i>Rule 1 | Section 1 | Article 10</i>","A clear set of boundary lines must be provided, at least 1 foot (0.3 metres) inside the track or obstruction."
"What actions are defined as a 'play' in Canadian Amateur Tackle Football?

<i>Rule 1 | Section 1 | Article 11</i>","A play is defined as any legally run scrimmage play (run, pass, kick), a convert attempt, or a kick-off, during both regulation time and overtime."
"What material is required for the four-panel ball used in the game?

<i>Rule 1 | Section 2 | Article 1</i>",The ball must be made of pebbled grain leather.
"What is the acceptable pressure range for the inflated rubber bladder of the game ball?

<i>Rule 1 | Section 2 | Article 1</i>",The pressure must be not less than 12 1/2 lbs. (85 kilopascals) and not more than 13 1/2 lbs (95 kpa).
"What is the required shape of the game ball?

<i>Rule 1 | Section 2 | Article 1</i>",The game ball shall be in the shape of a prolate spheroid.
"What are the acceptable circumference measurements for the long axis of the game ball?

<i>Rule 1 | Section 2 | Article 1</i>",The circumference of the long axis shall be from 27 3/4 to 28 1/2 inches (700 to 725 mm).
"Who is responsible for providing the league-approved game ball(s)?

<i>Rule 1 | Section 2 | Article 1</i>",The Home Team shall provide a league approved ball or balls.
"Who makes the final decision regarding the suitability of the game ball?

<i>Rule 1 | Section 2 | Article 1</i>",The decision of the Referee shall be final as to the suitability of the ball.
"What color must the game ball be for day games?

<i>Rule 1 | Section 2 | Article 2</i>","For day games, the ball shall be of a natural tan in colour."
"Under what condition must the game ball's color be clearly visible?

<i>Rule 1 | Section 2 | Article 2</i>","For night games, the ball must be of such colour as will make it clearly visible."
"What is a restriction on the color of the game ball for both day and night games?

<i>Rule 1 | Section 2 | Article 2</i>","In both day and night games, the colour of the ball shall, in no way, closely blend with the colour of the uniforms of the competing teams."
"What is the standard length of a game in actual playing time for adults, and how is it divided?

<i>Rule 1 | Section 3 | Article 1</i>","The game shall consist of 60 minutes of actual playing time, divided into 4 periods of 15 minutes each."
"How long is a game for High School level players and below, and how is it divided?

<i>Rule 1 | Section 3 | Article 1</i>","For players at the High School level or equivalent and below, the game shall consist of 48 minutes of actual playing time, divided into 4 periods of 12 minutes each."
"Who declares first choice at the start of the first or second half at the start of the game?

<i>Rule 1 | Section 3 | Article 2</i>","The captain of the visiting team, or the team winning the coin toss, shall declare whether to have first choice at the start of the first or second half."
"What three options does the captain having first choice at the start of the first half have?

<i>Rule 1 | Section 3 | Article 2</i>","The captain having first choice at the start of the first half has the option of 1. Kicking Off, 2. Receiving the kick off, or 3. Defending an end of the field."
"When does the procedure for choosing kick off, receiving kick off, or end of field reverse?

<i>Rule 1 | Section 3 | Article 2</i>","At the start of the 3rd period, the procedure shall be reversed. The team captain having the first choice for the 2nd half shall have the option of the 3 choices mentioned earlier, and the other captain the option of the remaining 1 or 2 choices."
"After a touchdown, what choice does the captain of the team scored against have?

<i>Rule 1 | Section 3 | Article 2</i>","After a touchdown, the captain of the team scored against shall have the choice of kicking off, or receiving the kick off."
"When do teams change ends during a game?

<i>Rule 1 | Section 3 | Article 3</i>",Teams shall change ends at the end of the 1st and 3rd periods.
